name,title,universe
A14024,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars),Total Population
A14024A,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (White Alone),White Alone Population
A14024B,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (Black or African American Alone),Black or African American Alone Population
A14024C,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (American Indian and Alaska Native Alone),American Indian and Alaska Native Alone Population
A14024D,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (Asian Alone),Asian Alone Population
A14024E,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone),Native Hawaiian and Other Pacific Islander Alone Population
A14024F,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (Some Other Race Alone),Some Other Race Alone Population
A14024G,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (Two or More Races),Two or More Races Population
A14024H,Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (Hispanic or Latino),Hispanic or Latino Population
A14024I,"Per Capita Income (In <DollarYear> Inflation Adjusted Dollars) (White Alone, Not Hispanic or Latino)","White Alone, not Hispanic or Latino Population"
A14026,Household Income Quintile Upper Limits,Households
A14027,Mean Household Income of Quintiles,Households
A14025,Shares of Aggregate Household Income by Quintile,Households
A14028,Gini Index of Income Inequality,Households
A10001,Housing Units,Housing units
A10060,Tenure,Occupied Housing Units
A10044,Occupancy Status,Housing units
A10047,Vacancy Status by Type of Vacancy,Vacant housing units
A10032,Housing Units in Structure,Housing Units
A10053,Occupied Housing Units by Units in Structure,Universe:  Occupied housing units
A10053B,Units in Structure (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10062B,Total Population in Renter Occupied Housing Units by Units in Structure,Universe:  Total population in Renter Occupied housing units
A10055,Occupied Housing Units by Year Structure Built,Universe:  Occupied housing units
A10059B,Year Structure Built (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10031,Housing Units by Year Householder Moved Into Unit,Universe:  Occupied housing units
A10056B,Year Householder Moved Into Unit (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10063B,Total Population in Renter-Occupied Housing Units by Year Householder Moved Into Unit,Universe:  Total population in Renter-Occupied Housing Units
A10028,Housing Units by Number of Occupants Per Room,Universe:  Occupied housing units
A10046B,Occupants Per Room (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10052,Occupied Housing Units by Number of Rooms,Universe:  Occupied housing units
A10043B,Number of Rooms (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10050,Occupied Housing Units by Number of Bedrooms,Universe:  Occupied housing units
A10042B,Number of Bedrooms (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10057,Median Year Structure Built,Housing units
A10034,House Heating Fuel,Occupied Housing Units
A10034B,House Heating Fuel (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10035,House Value for All Owner-Occupied Housing Units,Owner-occupied housing units
A10035A,House Value for All Owner-Occupied Housing Units - Cumulative (Less),Owner-occupied housing units
A10035B,House Value for All Owner-Occupied Housing Units - Cumulative (More),Owner-occupied housing units
A10036,Median House Value for All Owner-Occupied Housing Units,Owner-occupied housing units
A18001,Gross Rent (Housing Units with Cash Rent),Renter-occupied housing units with cash rent
A18001A,Gross Rent (Housing Units with Cash Rent) - Cumulative (Less),Renter-occupied housing units with cash rent
A18001B,Gross Rent (Housing Units with Cash Rent) - Cumulative (More),Renter-occupied housing units with cash rent
A18002,Gross Rent as a Percentage of Household Income in 2021,Renter-occupied housing units
A18011,Gross Rent as a Percentage of Household Income in the Past 12 Months (Dollars) - Cumulative (More),Renter-occupied housing units
A18009,Median Gross Rent,Renter-occupied housing units paying cash rent
A18003,Median Gross Rent as a Percentage of Household Income in 2021,Renter-occupied housing units paying cash rent
A18005,Average Gross Rent,Renter-occupied housing units
A18004,Aggregate Gross Rent,Renter-occupied housing units
A18010,Median Gross Rent by Bedrooms,Universe: Renter-occupied housing units paying cash rent
A18006,Bedrooms by Gross Rent,Universe:  Renter-occupied housing units
A18008,Median Gross Rent by Year Structure Built,Universe: Renter-occupied housing units paying cash rent
A18007,Median Gross Rent by Year Householder Moved Into Unit,Universe: Renter-occupied housing units paying cash rent
A10041,Mortgage Status,Owner-occupied housing units
A10040,Mortgage Status by Selected Monthly Owner Costs as a Percentage of Household Income in 2021,Owner-occupied housing units
A10049,Selected Monthly Owner Costs as a Percentage of Household Income in 2021 for Housing Units with a Mortgage,Housing units with a mortgage
A10051,Selected Monthly Owner Costs as a Percentage of Household Income in 2021 for Housing Units Without a Mortgage,Housing units Without a mortgage
A10037,Median Selected Monthly Owner Costs as a Percentage of Household Income in 2021 and Mortgage Status,Owner-occupied housing units
A10027,Housing Units by Monthly Housing Costs,Universe:  Occupied housing units
A10038,Monthly Housing Cost (Renter-Occupied Housing Units),Universe:  Renter-occupied housing units
A10039B,Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A13002,Poverty Status in 2021 of Families by Family Type by Presence of Children Under 18 Years,Families
A13003A,Poverty Status in 2021 for Children Under 18,Population Under 18 Years of Age for whom poverty status Is determined
A13003B,Poverty Status in 2021 for Population Age 18 to 64,Population Age 18 to 64 for whom poverty status Is determined
A13003C,Poverty Status in 2021 for Population Age 65 and Over,Population Age 65 and Over for whom poverty status Is determined
A13004,Ratio of Income in 2021 to Poverty Level,Population for whom poverty status Is determined
E13004,Ratio of Income in 2019 to Poverty Level of Familes,Families
B13004,Ratio of Income in 2021 to Poverty Level (Summarized),Population for whom poverty status Is determined
F13004,Ratio of Income in 2019 to Poverty Level of Familes (Summarized - top-coded at 2.00),Families
C13004,Ratio of Income in 2019 to Poverty Level (Summarized - top-coded at 5.00),Population for whom poverty status Is determined
D13004,Ratio of Income to Poverty Level of Families in the Past 12 Months (Summarized - top-coded at 5.00),Families
A13001A,Poverty Status in 2021 (White Alone),White Alone Population for whom poverty status Is determined
A13001B,Poverty Status in 2021 (Black or African American Alone),Black or African American Alone Population for whom poverty status Is determined
A13001C,Poverty Status in 2021 (American Indian and Alaska Native Alone),American Indian and Alaska Native Alone Population for whom poverty status Is determined
A13001D,Poverty Status in 2021 (Asian Alone),Asian Alone Population for whom poverty status Is determined
A13001E,Poverty Status in 2021 (Native Hawaiian and Other Pacific Islander Alone),Native Hawaiian and Other Pacific Islander Alone Population for whom poverty status Is determined
A13001F,Poverty Status in 2021 (Some Other Race Alone),Some Other Race Alone Population for whom poverty status Is determined
A13001G,Poverty Status in 2021 (Two or More Races),Two or More races Population for whom poverty status Is determined
A13001H,Poverty Status in 2021 (Hispanic or Latino),Hispanic or Latino Population for whom poverty status Is determined
A13001I,"Poverty Status in 2021 (White Alone, Not Hispanic or Latino)","White Alone, not Hispanic or Latino Population for whom poverty status Is determined"
A09005,Means of Transportation to Work for Workers 16 Years and Over,Workers 16 Years and Over
A09004B,Means of Transportation to Work (Renter-Occupied Housing Units),Universe:  Workers 16 years and Over in households
A09001,Travel Time to Work for Workers 16 Years and Over,Workers 16 Years and Over
B09001,Travel Time to Work for Workers 16 Years and Over (Who Did Not Work At Home),Workers 16 Years and Over Who Did Not Work at Home
A09002,Travel Time to Work for Workers 16 Years and Over (In 15 MIn Intervals) ,Workers 16 Years and Over Who Did Not Work at Home
A09002A,Travel Time to Work for Workers 16 Years and Over (In 15 MIn Intervals) - Cumulative (Less),Workers 16 Years and Over Who Did Not Work at Home
A09002B,Travel Time to Work for Workers 16 Years and Over (In 15 MIn Intervals)  - Cumulative (More),Workers 16 Years and Over Who Did Not Work at Home
A09003,Average Commute to Work (In Min),Average Commute to Work (In min)
A10030,Housing Units by Vehicles Available,Universe:  Occupied housing units
A10054B,Vehicles Available (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A08001,Residence 1 Year Ago in the United States,Population 1 year and Over in the United States
A08002B,Geographical Mobility in the Past Year for Current Residence in the United States (Renter-Occupied Housing Units),Universe:  Population 1 year and Over in households in the United States
A16002,Veteran Status for the Civilian Population,Civilian Population 18 Years and Over
A16001,Period of Military Service for Civilian Veterans 18 Years and Over,Civilian veterans 18 Years and Over
A06001,Nativity by Citizenship Status,Total Population
A10058,Year of Entry for the Foreign-Born Population,Foreign-born Population
A05001,Ancestry,Total population
A05002,People Reporting Ancestry,Total Population
A05002A,People Reporting Single Ancestry,People Reporting Single Ancestry
A05002B,People Reporting Multiple Ancestry,People Reporting Multiple Ancestries
A07001,Place of Birth for the Foreign-Born Population,Foreign-born population
A10006,Nonfamily Households,Nonfamily Households
A10045,Owner-Occupied Housing Units,Owner-occupied housing units
A17008,Occupation for Employed Civilian Population 16 Years and Over,Employed Civilian Population 16 Years and Over
A20001,Health Insurance,Civilian Noninstitutionalized Population
A20002,Health Insurance by Age,Civilian Noninstitutionalized Population
A10048,Occupied Housing Units by Complete Facilities,Universe:  Occupied housing units
A10033B,Complete Facilities (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10029,Housing Units by Telephone Service Available by Age of Householder,Universe:  Occupied housing units
A10061B,Telephone Service Available (Renter-Occupied Housing Units),Universe:  Renter-Occupied Housing Units
A10002A,Household Size (Owner-Occupied Housing Units),Universe: Owner-Occupied Housing Units
A10003A,Average Household Size of Owner-Occupied Housing Units,Universe:  Owner-Occupied Housing Units
A10046A,Occupants Per Room (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10004A,Household Type (Including Living Alone) and Age of Householder (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10005A,Families and Presence of Own Children (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A03001A,Race (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A01003A,Age of Householder (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A12005A,Educational Attainment of Householder (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10056A,Year Householder Moved Into Unit (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A14003A,Household Income in the Past 12 Months (In <DollarYear> Inflation-Adjusted Dollars) (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A14017,Median Household Income the Past 12 Months (In <DollarYear> Inflation-Adjusted Dollars) (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10039A,Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10053A,Units in Structure (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10059A,Year Structure Built (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10043A,Number of Rooms (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10042A,Number of Bedrooms (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10033A,Complete Facilities (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10054A,Vehicles Available (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A09004A,Means of Transportation to Work (Owner-Occupied Housing Units),Universe:  Householder Lived in Owner-Occupied Housing Units
A10061A,Telephone Service Available (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10034A,House Heating Fuel (Owner-Occupied Housing Units),Universe:  Owner-Occupied Housing Units
A10063A,Total Population in Owner-Occupied Housing Units by Year Householder Moved Into Unit,Universe:  Total population in Owner-Occupied Housing Units
A08002A,Geographical Mobility in the Past Year for Current Residence in the United States (Owner-Occupied Housing Units),Universe:  Householder Lived in Owner-Occupied Housing Units
A10062A,Total Population in Owner Occupied Housing Units by Units in Structure,Universe:  Total population in Owner Occupied housing units
